"","singleton_G6_Skin_FL_2500_B2","singleton_G6_Skin_FL_2500_B1","singleton_G6_Skin_FL_2500_B4","singleton_G6_Skin_FL_2500_C1","singleton_G6_Skin_Fixed_24_D1","singleton_G6_Skin_FL_2500_A2","singleton_G6_Skin_Fixed_24_C1","singleton_G6_Skin_Fixed_24_C2","singleton_G6_Skin_FL_2500_C3","singleton_G6_Skin_FL_2500_D2","singleton_G6_Skin_FL_2500_D3","singleton_G6_Skin_Fixed_24_B1","singleton_G6_Skin_Fixed_24_D2","singleton_G6_Skin_FL_2500_D4","singleton_G6_Skin_Fixed_24_B4","singleton_G6_Skin_FL_2500_C2","singleton_G6_Skin_Fixed_24_B3","singleton_G6_Skin_Fixed_24_A3","singleton_G6_Skin_Fixed_24_C3","singleton_G6_Skin_FL_2500_B3","singleton_G6_Skin_Fixed_24_D4","singleton_G6_Skin_FL_2500_A4","singleton_G6_Skin_Fixed_24_D3","singleton_G6_Skin_Fixed_24_A4","singleton_G6_Skin_Fixed_24_A2","singleton_G6_Skin_Fixed_24_C4","singleton_G6_Skin_FL_2500_D1","singleton_G6_Skin_FL_2500_C4","doubleton_G6_Skin_Fixed_24_A2","doubleton_G6_Skin_Fixed_24_A3","doubleton_G6_Skin_Fixed_24_A4","doubleton_G6_Skin_Fixed_24_B1","doubleton_G6_Skin_Fixed_24_B3","doubleton_G6_Skin_Fixed_24_B4","doubleton_G6_Skin_Fixed_24_C1","doubleton_G6_Skin_Fixed_24_C2","doubleton_G6_Skin_Fixed_24_C3","doubleton_G6_Skin_Fixed_24_C4","doubleton_G6_Skin_Fixed_24_D1","doubleton_G6_Skin_Fixed_24_D2","doubleton_G6_Skin_Fixed_24_D3","doubleton_G6_Skin_Fixed_24_D4","doubleton_G6_Skin_FL_2500_A2","doubleton_G6_Skin_FL_2500_A4","doubleton_G6_Skin_FL_2500_B1","doubleton_G6_Skin_FL_2500_B2","doubleton_G6_Skin_FL_2500_B3","doubleton_G6_Skin_FL_2500_B4","doubleton_G6_Skin_FL_2500_C1","doubleton_G6_Skin_FL_2500_C2","doubleton_G6_Skin_FL_2500_C3","doubleton_G6_Skin_FL_2500_C4","doubleton_G6_Skin_FL_2500_D1","doubleton_G6_Skin_FL_2500_D2","doubleton_G6_Skin_FL_2500_D3","doubleton_G6_Skin_FL_2500_D4","singleton_G4_Feces_FL_350_C2","singleton_G4_Feces_FL_350_D3","singleton_G4_Feces_FL_350_A3","singleton_G4_Feces_Fixed_24_C1","singleton_G4_Feces_FL_350_D4","singleton_G4_Feces_Fixed_24_A2","singleton_G4_Feces_Fixed_24_A4","singleton_G4_Feces_Fixed_24_D2","singleton_G4_Feces_Fixed_24_C2","singleton_G4_Feces_Fixed_24_C4","singleton_G4_Feces_FL_350_A2","singleton_G4_Feces_Fixed_24_B1","singleton_G4_Feces_Fixed_24_B3","singleton_G4_Feces_Fixed_24_D4","singleton_G4_Feces_Fixed_24_B4","singleton_G4_Feces_Fixed_24_D1","singleton_G4_Feces_FL_350_C4","singleton_G4_Feces_FL_350_C1","singleton_G4_Feces_Fixed_24_B2","singleton_G4_Feces_Fixed_24_A3","singleton_G4_Feces_FL_350_B1","singleton_G4_Feces_FL_350_C3","singleton_G4_Feces_FL_350_D2","singleton_G4_Feces_FL_350_B2","singleton_G4_Feces_FL_350_D1","singleton_G4_Feces_Fixed_24_C3","singleton_G4_Feces_Fixed_24_D3","singleton_G4_Feces_FL_350_A4","doubleton_G4_Feces_Fixed_24_A2","doubleton_G4_Feces_Fixed_24_A3","doubleton_G4_Feces_Fixed_24_A4","doubleton_G4_Feces_Fixed_24_B1","doubleton_G4_Feces_Fixed_24_B2","doubleton_G4_Feces_Fixed_24_B3","doubleton_G4_Feces_Fixed_24_B4","doubleton_G4_Feces_Fixed_24_C1","doubleton_G4_Feces_Fixed_24_C2","doubleton_G4_Feces_Fixed_24_C3","doubleton_G4_Feces_Fixed_24_C4","doubleton_G4_Feces_Fixed_24_D1","doubleton_G4_Feces_Fixed_24_D2","doubleton_G4_Feces_Fixed_24_D3","doubleton_G4_Feces_Fixed_24_D4","doubleton_G4_Feces_FL_350_A2","doubleton_G4_Feces_FL_350_A3","doubleton_G4_Feces_FL_350_A4","doubleton_G4_Feces_FL_350_B1","doubleton_G4_Feces_FL_350_B2","doubleton_G4_Feces_FL_350_C1","doubleton_G4_Feces_FL_350_C2","doubleton_G4_Feces_FL_350_C3","doubleton_G4_Feces_FL_350_C4","doubleton_G4_Feces_FL_350_D1","doubleton_G4_Feces_FL_350_D2","doubleton_G4_Feces_FL_350_D3","doubleton_G4_Feces_FL_350_D4","singleton_G7_Soil_FL_5000_D2","singleton_G7_Soil_FL_5000_A2","singleton_G7_Soil_FL_5000_B4","singleton_G7_Soil_FL_5000_C3","singleton_G7_Soil_FL_5000_D3","singleton_G7_Soil_FL_5000_B3","singleton_G7_Soil_Fixed_24_C3","singleton_G7_Soil_FL_5000_D4","singleton_G7_Soil_FL_5000_A1","singleton_G7_Soil_FL_5000_A4","singleton_G7_Soil_Fixed_24_A3","singleton_G7_Soil_Fixed_24_A4","singleton_G7_Soil_Fixed_24_B4","singleton_G7_Soil_Fixed_24_C4","singleton_G7_Soil_Fixed_24_D4","singleton_G7_Soil_Fixed_24_B3","singleton_G7_Soil_FL_5000_C4","singleton_G7_Soil_Fixed_24_D3","singleton_G7_Soil_FL_5000_C2","doubleton_G7_Soil_Fixed_24_A2","doubleton_G7_Soil_Fixed_24_A3","doubleton_G7_Soil_Fixed_24_A4","doubleton_G7_Soil_Fixed_24_B2","doubleton_G7_Soil_Fixed_24_B3","doubleton_G7_Soil_Fixed_24_B4","doubleton_G7_Soil_Fixed_24_C2","doubleton_G7_Soil_Fixed_24_C3","doubleton_G7_Soil_Fixed_24_C4","doubleton_G7_Soil_Fixed_24_D2","doubleton_G7_Soil_Fixed_24_D3","doubleton_G7_Soil_Fixed_24_D4","doubleton_G7_Soil_FL_5000_A1","doubleton_G7_Soil_FL_5000_A2","doubleton_G7_Soil_FL_5000_A4","doubleton_G7_Soil_FL_5000_B3","doubleton_G7_Soil_FL_5000_B4","doubleton_G7_Soil_FL_5000_C2","doubleton_G7_Soil_FL_5000_C3","doubleton_G7_Soil_FL_5000_C4","doubleton_G7_Soil_FL_5000_D2","doubleton_G7_Soil_FL_5000_D3","doubleton_G7_Soil_FL_5000_D4"
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae;g__Yimella",1,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Eukaryota;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia",36,45,0,33,85,39,98,111,23,36,12,148,123,1,3,27,93,96,82,22,4,0,116,8,132,2,30,0,133,100,9,153,99,2,97,116,90,2,84,103,107,1,41,0,38,40,20,3,26,22,20,0,36,41,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pseudorhodoferax",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,9,9,4,8,9,13,7,8,10,8,4,8,9,7,8,5,12,7,10,9,4,7,10,7,4,9,6,7,10,10,9,9,5,4,6,9,7,5,3
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas",0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,2,2,6,4,5,4,6,1,6,1,5,6,3,6,4,4,4,6,6,4,5,3,5,1,2,4,1,7,3,6,5,4,7,8,6,5,6,7,5
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella",0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,22,23,20,30,37,16,29,30,29,32,21,20,32,25,30,44,19,26,24,23,28,27,19,22,23,21,21,37,21,28,29,24,23,28,26,21,26,22,23,20
"d__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__Gitt-GS-136;f__Gitt-GS-136;g__Gitt-GS-136",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,4,2,2,2,1,2,4,1,0,1,2,2,1,5,1,1,1,3,0,1,2,2,2,2,2,0,1,1,3,1,6,1,3,1,5,3,2,3,1
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;__;__",0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Kallotenuales;f__AKIW781;g__AKIW781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,8,3,4,7,3,11,2,7,3,5,5,5,1,2,10,3,3,3,3,1,3,8,2,1,6,7,1,4,3,0,5,7,2,4,0,4,5,0,4,4
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group",0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,5,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,2,0,0,1,0,1,0,1,1,0,0,1,0,0,3,1,0,0,0,0,389,395,410,347,420,376,367,367,385,372,449,401,383,412,425,410,437,422,368,408,412,366,410,405,411,356,354,400,369,392,418,408,348,374,437,342,406,354,392,413,369,386,395,417,396,370,380,380,410,395,407,414,396,453,389,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Acidobacteriota;c__Subgroup_11;o__Subgroup_11;f__Subgroup_11;g__Subgroup_11",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,3,0,2,1,4,4,4,7,4,1,6,0,2,0,1,2,8,9,3,1,3,4,5,4,0,0,6,5,5,2,4,3,3,2,4,4,2,4
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium",0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,7,2,9,1,6,5,4,11,2,0,1,4,0,3,3,3,8,1,2,1,4,6,5,3,3,4,2,4,5,6,4,2,2,4,5,4,6,6,6,7
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,340,350,270,324,260,286,281,318,279,361,353,271,266,282,346,335,351,313,252,381,371,341,375,349,287,284,364,305,259,278,336,316,309,316,299,316,315,303,347,292,322,317,348,377,378,402,361,368,383,352,373,364,393,355,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria",59,54,55,70,32,53,24,39,53,43,42,28,25,48,51,61,35,34,41,52,49,37,45,45,38,53,40,41,35,38,38,28,41,46,23,44,33,44,37,43,45,56,55,39,48,76,50,49,66,56,51,50,50,38,37,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,2,0,1,0,2,1,0,2,2,1,1,1,0,3,0,2,0,2,0,2,0,0,2,1,0,1,1,3,4,3,0,2,2,2,1,4,1
"d__Eukaryota;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;__",2,0,2,1,0,0,0,0,4,4,2,0,0,0,2,4,0,4,0,3,0,0,0,3,8,0,5,0,3,2,0,0,0,2,0,3,1,2,0,0,0,1,2,1,0,2,1,2,1,4,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,8,5,3,4,1,7,9,2,3,0,0,1,1,8,0,7,2,5,2,0,1,4,3,2,3,0,2,0,5,6,10,4,4,3,7,6,4,8,5
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__CL500-29_marine_group",0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,6,6,11,2,6,4,5,2,1,8,4,6,3,10,3,1,3,3,1,3,4,7,4,4,4,2,5,7,6,7,6,8,6,4,11,3,5,10,5
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Candidatus_Udaeobacter",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,2
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium",8,2,4,9,0,4,1,5,0,6,2,5,1,5,2,7,4,7,6,11,6,4,4,2,1,7,7,9,6,3,1,7,5,9,4,8,7,12,2,1,0,3,9,3,5,10,3,3,6,8,3,6,11,6,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Scytonema_UTEX_2349",1,1,0,2,0,1,0,0,5,2,4,0,0,0,0,0,0,0,0,4,0,0,3,0,0,6,2,0,0,4,0,0,1,0,0,0,3,5,3,0,5,0,1,0,3,0,6,2,2,2,6,1,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Simonsiella",0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Archangium",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,22,22,19,17,15,31,24,27,3,9,11,9,14,8,21,19,20,12,9,22,9,11,14,15,21,9,19,18,14,14,26,22,15,21,24,22,28,18,17,23
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Herbiconiux",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,11,7,12,2,3,8,15,8,5,6,7,13,3,14,5,4,12,7,7,8,9,11,5,8,5,12,9,5,6,9,8,5,9,8,6,4,13,11,12,5
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microcella",0,0,0,3,0,2,0,0,0,0,1,0,3,0,0,0,2,0,0,1,2,0,0,0,1,2,1,0,2,1,0,0,1,0,0,0,0,2,0,3,2,2,3,0,2,0,3,0,3,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"d__Archaea;p__Aenigmarchaeota;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Dactylosporangium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,15,9,10,1,9,7,4,3,5,5,4,5,9,10,9,6,8,6,8,7,10,5,5,7,6,7,6,8,6,11,9,9,9,5,8,10,11,13,9
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Galbitalea",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,6,7,6,8,4,10,4,0,0,2,9,8,5,1,5,6,5,9,4,6,5,4,2,5,9,2,5,4,6,2,6,6,5,9,1,3,8,6,10
