"","singleton_G6_Skin_FL_2500_B2","singleton_G6_Skin_FL_2500_B1","singleton_G6_Skin_FL_2500_B4","singleton_G6_Skin_FL_2500_C1","singleton_G6_Skin_Fixed_24_D1","singleton_G6_Skin_FL_2500_A2","singleton_G6_Skin_Fixed_24_C1","singleton_G6_Skin_Fixed_24_C2","singleton_G6_Skin_FL_2500_C3","singleton_G6_Skin_FL_2500_D2","singleton_G6_Skin_FL_2500_D3","singleton_G6_Skin_Fixed_24_B1","singleton_G6_Skin_Fixed_24_D2","singleton_G6_Skin_FL_2500_D4","singleton_G6_Skin_Fixed_24_B4","singleton_G6_Skin_FL_2500_C2","singleton_G6_Skin_Fixed_24_B3","singleton_G6_Skin_Fixed_24_A3","singleton_G6_Skin_Fixed_24_C3","singleton_G6_Skin_FL_2500_B3","singleton_G6_Skin_Fixed_24_D4","singleton_G6_Skin_FL_2500_A4","singleton_G6_Skin_Fixed_24_D3","singleton_G6_Skin_Fixed_24_A4","singleton_G6_Skin_Fixed_24_A2","singleton_G6_Skin_Fixed_24_C4","singleton_G6_Skin_FL_2500_D1","singleton_G6_Skin_FL_2500_C4","doubleton_G6_Skin_Fixed_24_A2","doubleton_G6_Skin_Fixed_24_A3","doubleton_G6_Skin_Fixed_24_A4","doubleton_G6_Skin_Fixed_24_B1","doubleton_G6_Skin_Fixed_24_B3","doubleton_G6_Skin_Fixed_24_B4","doubleton_G6_Skin_Fixed_24_C1","doubleton_G6_Skin_Fixed_24_C2","doubleton_G6_Skin_Fixed_24_C3","doubleton_G6_Skin_Fixed_24_C4","doubleton_G6_Skin_Fixed_24_D1","doubleton_G6_Skin_Fixed_24_D2","doubleton_G6_Skin_Fixed_24_D3","doubleton_G6_Skin_Fixed_24_D4","doubleton_G6_Skin_FL_2500_A2","doubleton_G6_Skin_FL_2500_A4","doubleton_G6_Skin_FL_2500_B1","doubleton_G6_Skin_FL_2500_B2","doubleton_G6_Skin_FL_2500_B3","doubleton_G6_Skin_FL_2500_B4","doubleton_G6_Skin_FL_2500_C1","doubleton_G6_Skin_FL_2500_C2","doubleton_G6_Skin_FL_2500_C3","doubleton_G6_Skin_FL_2500_C4","doubleton_G6_Skin_FL_2500_D1","doubleton_G6_Skin_FL_2500_D2","doubleton_G6_Skin_FL_2500_D3","doubleton_G6_Skin_FL_2500_D4","singleton_G4_Feces_FL_350_C2","singleton_G4_Feces_FL_350_D3","singleton_G4_Feces_FL_350_A3","singleton_G4_Feces_Fixed_24_C1","singleton_G4_Feces_FL_350_D4","singleton_G4_Feces_Fixed_24_A2","singleton_G4_Feces_Fixed_24_A4","singleton_G4_Feces_Fixed_24_D2","singleton_G4_Feces_Fixed_24_C2","singleton_G4_Feces_Fixed_24_C4","singleton_G4_Feces_FL_350_A2","singleton_G4_Feces_Fixed_24_B1","singleton_G4_Feces_Fixed_24_B3","singleton_G4_Feces_Fixed_24_D4","singleton_G4_Feces_Fixed_24_B4","singleton_G4_Feces_Fixed_24_D1","singleton_G4_Feces_FL_350_C4","singleton_G4_Feces_FL_350_C1","singleton_G4_Feces_Fixed_24_B2","singleton_G4_Feces_Fixed_24_A3","singleton_G4_Feces_FL_350_B1","singleton_G4_Feces_FL_350_C3","singleton_G4_Feces_FL_350_D2","singleton_G4_Feces_FL_350_B2","singleton_G4_Feces_FL_350_D1","singleton_G4_Feces_Fixed_24_C3","singleton_G4_Feces_Fixed_24_D3","singleton_G4_Feces_FL_350_A4","doubleton_G4_Feces_Fixed_24_A2","doubleton_G4_Feces_Fixed_24_A3","doubleton_G4_Feces_Fixed_24_A4","doubleton_G4_Feces_Fixed_24_B1","doubleton_G4_Feces_Fixed_24_B2","doubleton_G4_Feces_Fixed_24_B3","doubleton_G4_Feces_Fixed_24_B4","doubleton_G4_Feces_Fixed_24_C1","doubleton_G4_Feces_Fixed_24_C2","doubleton_G4_Feces_Fixed_24_C3","doubleton_G4_Feces_Fixed_24_C4","doubleton_G4_Feces_Fixed_24_D1","doubleton_G4_Feces_Fixed_24_D2","doubleton_G4_Feces_Fixed_24_D3","doubleton_G4_Feces_Fixed_24_D4","doubleton_G4_Feces_FL_350_A2","doubleton_G4_Feces_FL_350_A3","doubleton_G4_Feces_FL_350_A4","doubleton_G4_Feces_FL_350_B1","doubleton_G4_Feces_FL_350_B2","doubleton_G4_Feces_FL_350_C1","doubleton_G4_Feces_FL_350_C2","doubleton_G4_Feces_FL_350_C3","doubleton_G4_Feces_FL_350_C4","doubleton_G4_Feces_FL_350_D1","doubleton_G4_Feces_FL_350_D2","doubleton_G4_Feces_FL_350_D3","doubleton_G4_Feces_FL_350_D4","singleton_G7_Soil_FL_5000_D2","singleton_G7_Soil_FL_5000_A2","singleton_G7_Soil_FL_5000_B4","singleton_G7_Soil_FL_5000_C3","singleton_G7_Soil_FL_5000_D3","singleton_G7_Soil_FL_5000_B3","singleton_G7_Soil_Fixed_24_C3","singleton_G7_Soil_FL_5000_D4","singleton_G7_Soil_FL_5000_A1","singleton_G7_Soil_FL_5000_A4","singleton_G7_Soil_Fixed_24_A3","singleton_G7_Soil_Fixed_24_A4","singleton_G7_Soil_Fixed_24_B4","singleton_G7_Soil_Fixed_24_C4","singleton_G7_Soil_Fixed_24_D4","singleton_G7_Soil_Fixed_24_B3","singleton_G7_Soil_FL_5000_C4","singleton_G7_Soil_Fixed_24_D3","singleton_G7_Soil_FL_5000_C2","doubleton_G7_Soil_Fixed_24_A2","doubleton_G7_Soil_Fixed_24_A3","doubleton_G7_Soil_Fixed_24_A4","doubleton_G7_Soil_Fixed_24_B2","doubleton_G7_Soil_Fixed_24_B3","doubleton_G7_Soil_Fixed_24_B4","doubleton_G7_Soil_Fixed_24_C2","doubleton_G7_Soil_Fixed_24_C3","doubleton_G7_Soil_Fixed_24_C4","doubleton_G7_Soil_Fixed_24_D2","doubleton_G7_Soil_Fixed_24_D3","doubleton_G7_Soil_Fixed_24_D4","doubleton_G7_Soil_FL_5000_A1","doubleton_G7_Soil_FL_5000_A2","doubleton_G7_Soil_FL_5000_A4","doubleton_G7_Soil_FL_5000_B3","doubleton_G7_Soil_FL_5000_B4","doubleton_G7_Soil_FL_5000_C2","doubleton_G7_Soil_FL_5000_C3","doubleton_G7_Soil_FL_5000_C4","doubleton_G7_Soil_FL_5000_D2","doubleton_G7_Soil_FL_5000_D3","doubleton_G7_Soil_FL_5000_D4"
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__uncultured;s__metagenome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,0,0,1,1,0,2,0,0,0,0,4,1,0,4,1,3,0,6,0,2,2,1,1,2,1,2,6,0,5,0,0,5,0,1,0,1,0,2
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola;__",0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,5,10,6,5,6,4,14,5,4,4,2,4,2,9,0,3,6,5,5,5,4,12,5,6,7,3,4,3,1,5,12,7,3,5,3,7,5,11,6
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Tessaracoccus;__",0,0,0,0,0,0,0,3,1,0,5,0,0,0,2,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;__",37,21,23,18,15,18,16,19,35,27,24,13,17,34,24,31,21,21,17,39,24,36,15,18,16,27,20,26,16,14,20,12,21,22,16,22,17,15,9,19,14,26,24,30,21,43,38,30,15,44,37,22,23,27,24,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,2,0,2,0,3,0,0,0,0,2,3,1,0,0,0,0,0,3,4,0,3,1,1,0,2,0,0,2,1,3,2,0,1,1,2,0,1
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_salivarius",23,19,32,12,15,31,11,12,17,20,16,14,19,12,14,16,8,6,24,15,10,13,10,8,11,12,16,22,10,9,8,8,12,19,7,17,16,12,20,14,12,6,22,13,15,19,13,25,16,15,15,13,27,13,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;f__Omnitrophaceae;g__Candidatus_Omnitrophus;s__uncultured_bacterium",0,1,0,1,1,4,0,3,0,3,0,3,3,0,0,0,4,6,0,2,0,0,5,0,6,0,0,0,6,5,0,3,2,0,4,1,1,0,1,2,9,0,0,0,3,1,3,0,1,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,14,2,10,2,5,0,0,0,1,3,7,0,6,6,1,0,6,0,1,4,0,0,0,0,1,0,0,1,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Endobacter;s__Endobacter_medicaginis",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium;s__Cardiobacterium_hominis",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__uncultured;__",0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,5,0,0,4,0,0,1,0,0,0,0,1,0,1,0,0,4,0,1,0,0,1,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus_antarcticus",14,14,11,17,8,16,15,10,28,9,29,12,15,18,12,23,12,18,15,16,13,20,9,10,14,16,20,28,7,17,9,12,11,11,16,12,13,14,8,14,11,16,16,17,21,19,15,12,22,19,24,25,23,11,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Jatrophihabitans;s__uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,21,38,31,16,28,25,16,19,33,18,11,24,16,25,17,15,19,19,22,16,17,25,22,19,23,26,25,20,25,19,24,23,29,25,26,29,25,24,25,31
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus",2,3,0,0,1,3,0,0,0,6,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,4,0,0,0,1,0,0,0,3,7,1,0,32,41,40,36,34,59,47,38,41,44,41,58,40,46,31,47,33,28,39,42,39,42,35,39,28,52,33,35,42,46,49,57,41,46,38,36,36,57,53,49,35,52,44,44,35,42,45,39,31,34,48,35,36,36,40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium-Methylorubrum;s__Methylorubrum_rhodesianum",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus;s__Antarctic_bacterium",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_acidifaciens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,38,33,26,36,42,42,29,28,46,38,35,53,45,50,41,39,39,27,35,29,29,34,37,20,24,42,30,36,50,35,36,29,39,52,27,31,27,56,44,32,43,49,41,35,39,32,40,31,28,44,30,29,34,43,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium;s__Solobacterium_moorei",2,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7;__",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,1,6,1,4,2,6,3,0,0,2,5,2,1,2,1,12,0,1,0,3,1,1,2,1,3,2,3,2,5,8,4,4,5,4,4,5,2,3,4
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Pseudoglutamicibacter;s__Pseudoglutamicibacter_cumminsii",0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,1,4,0,0,0,3,0,1,0,0,0,4,1,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus_lylae",0,6,0,6,0,4,0,0,5,0,0,3,2,0,0,3,0,0,2,0,0,1,0,0,0,6,7,4,1,1,1,4,1,1,0,0,1,8,0,3,0,0,6,0,6,2,2,0,5,5,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;__",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,1,4,2,4,4,5,4,1,5,1,7,2,9,2,5,4,4,4,0,1,4,1,2,10,3,2,6,5,4,4,4,6,2,2,1,7,3,4
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_bennonis",4,1,3,7,8,5,0,6,2,4,4,0,4,7,7,2,0,16,0,4,6,9,5,7,6,7,3,3,5,10,11,0,1,9,3,4,0,5,8,0,10,5,4,8,1,4,2,5,7,1,8,7,6,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,26,10,22,21,6,18,18,12,8,7,3,8,7,10,21,5,17,4,13,11,17,13,2,11,4,11,9,4,7,10,10,12,9,19,12,20,22,7,8,16
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_imitans",1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc_PCC-73102;__",0,7,3,5,0,6,0,0,3,7,0,4,3,4,1,0,6,1,5,8,3,7,5,0,7,3,2,5,11,1,0,7,3,1,1,1,8,7,0,6,7,2,7,4,5,1,2,4,6,0,2,5,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria_weaveri",0,4,5,3,0,8,0,0,0,0,1,4,1,0,0,3,0,0,0,0,2,0,5,1,0,4,3,0,0,1,0,4,1,0,2,0,0,7,0,0,5,3,6,2,2,2,0,7,4,2,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Fastidiosipila;s__Clostridiales_bacterium",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__1174-901-12;s__Rhizobiales_bacterium",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_gasseri",0,0,5,5,0,7,0,0,6,0,0,1,0,2,4,16,0,0,0,0,3,0,0,0,0,2,3,5,0,5,4,0,0,5,0,0,0,3,0,0,0,3,7,0,0,0,3,4,5,11,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
